message,label,token,category
"лося опасно ставить, сегодня баба на открытии проткнула 258, кто был на лосях получил страдания",False,баба,сексизм
"На очень долгий срок это  space, на дистанцию в 5 лет определенно БАБА!",False,баба,сексизм
Значит нужно срочно продать Алибаба? А он у меня в минусе!,False,баба,сексизм
"с Яндексом вы точно все спрогнозировали, но если бы знали про тинькова, то не по 4900 рекомендовали сбрасывать. Я, кстати сбросил по 4900",False,яндекс,компании
"с чего ты это взял ?)  если я действительно не эксперт и что мне рекомендовать человеку? ? скупай все акции Тинькофф!? Я посоветовал, то чем сам пользуюсь и на что опираюсь )",False,тиньк,компании
посмотрим что будет. Мне на твой шорт Яндекс страшно смотреть))))),False,яндекс,компании
Момо в тиньке не шортится,False,тиньк,компании
"Я правильно понимаю, что вот эта облигация от Тинькофф {$RU000A102796} из этой же серии? Тут тоже дополнительный доход зависит от каких-то условий. Или есть принципиальные отличия?",False,тиньк,компании
"сколько смотрю, после отчетов в основном резко вниз. Касается всех акций! (Тесла в пример и солар эдж",False,тесла,компании
"Я так и знал, что членов секты тесла по 500 это заденет?",False,тесла,компании
"В тинькофф недавно,я раньше через сбер на валюте спекулировал?Не сказать что состояние сколотил,но прилично поднял?",False,тиньк,компании
Вы про меня?)) Да в Тиньке пока минус.. но это не проблема)) пока?иис в плюсе,False,тиньк,компании
Та же проблема с Алибаба,False,баба,сексизм
бред несёте))))баба никогда особо на проблемы рынков не реагировала),False,баба,сексизм
"Блин, а недобаба лучше торгует чем недомужик",False,баба,сексизм
"у меня 16 :(((( И усреднять нечем. Если только тесла сегодня взлетит, зафиксирую её и усредню нвидию хоть немного.",False,тесла,компании
"Думаю Теслу будут выдавливать с рынка другие автопроизводители, но Илон Маск просто так не сдастся. Даже в Китае Тесла считается лидером по продаже электрокаров.",False,тесла,компании
"Реакция на то, что до 2022 го года тесла не планирует переходить на свои супер крутые батареи и отказываться от панасоника)",False,тесла,компании
"Он вроде осетинской заявлял недавно, что денег ему особо не надо, живет скромно и большая часть капитала в акциях тинька, его все устраивает. Видимо что-то изменилось",False,тиньк,компании
"Яндекс будет стоить 5000 до НГ, инфа сотка)",False,яндекс,компании
зато Тесла тесно связана с антидобычей нефти ...,False,тесла,компании
"волатильна, но не бешенная..  ленивец тесла такая... тут в даже скачки медленные....",False,тесла,компании
тесла сейчас совсем для грустных)),False,тесла,компании
Господи! Как вы на Яндекс Дзене надоели!! И сюда притащились..ну сколько можно? Не для этого пульс..,False,яндекс,компании
мастер переобувания и пи#дабол в кожаной петушиной шляпе,True,,
Там алибаба наша поехала),False,баба,сексизм
стервозная баба,True,баба,сексизм
"Господи, дед несёт фигню. На пенсию его!! Оставьте Трампа, он хоть твиты норм пишет",False,трамп,политика
"возможно, снижение котировок произошло на фоне сообщений о том, что власти США обсуждают возможность делистинга китайских компаний со своих фондовых бирж.. Никак этот Трамппп не успокоится!))",False,трамп,политика
ходят слухи Трампа ждем,False,трамп,политика
"риск большой, если смотреть график 6 мес, то вроде как все красиво, и не брать в счет 9 ноября, та же Тесла год назад 150 стоила, а сейчас 440, хотя по логике 250 максимум должно быть",False,тесла,компании
Не стоит Яндекс таких денег. Как и Тесла,False,тесла,компании
"Неизвестно где дно , но если есть что фиксить , я бы зафиксил по Яндексу, но лучше думай сам :)",False,яндекс,компании
Хочешь сказать Яндекс упадёт?,False,яндекс,компании
"Малинка, риг, g1 и иногда разбавлять это все тесла ?? Хорошая новость, завтра акции вверх ?",False,тесла,компании
"Тесла ещё держится, по сравнению с тем же яблоком",False,тесла,компании
"нет, не ужаснулся и не рот вовсе",False, рот,другое
Достойный чертёж! Чувствуется фундаментал!,False,черт,другое
"Да не, ты все прально начертил походу. Туда и повезут наверное",False,черт,другое
"Да какие лонги то, падает все к чертовой бабушки",False,черт,другое
Ты кто такой ...а дальше слова песни всем известны .,False,пес,другое
Пес,False,пес,другое
"Слышал кто-то говорил, что Азия тесла их не интересует особо",False,тесла,компании
"странно. Почему я не инвестировал в Биткойн , но зато инвестировал в Тесла ... я же не излечим ???",False,тесла,компании
А есть пруф на тинькофф?,False,тиньк,компании
мой сынок тебе в рот не поместится- отвечу тебе на твоем уровене развития,True, рот,другое
удали пост! Нам не надо ничего доказывать. Нафиг вы обое нам не нужны. Забанят.,False,забан,другое
"ещё раз повторяю.цифры напиши свои ,а лучше адрес свой петушиный ,смельчак !в сети смотрю вы петухи все смелые такие ,а ну в лицо повтори мне свои слова,я тебе в рот дам!",True, рот,другое
"Ахаххаа ага, типичная баба",True,баба,сексизм
баба всегда судит всех по себе пмсом - классика,False,баба,сексизм
"Баба, когда ты меня выпустишь??",False,баба,сексизм
"Сдается мне , что это навальный ! ))",False,навальн,политика
